,HDI in 2000,Sugar in 2000,Gas in 2000
Uganda,0.372,24.66,0.860000014
Ukraine,0.669,117.81,0.370000005
United Arab Emirates,0.753,106.85,0.25
United Kingdom,0.833,101.37,1.169999957
United States,0.897,194.52,0.469999999
Uruguay,0.736,87.67,1.190000057
Uzbekistan,,41.1,0.430000007
Vanuatu,,38.36,
Venezuela,0.656,101.37,0.119999997
West Bank and Gaza,,87.67,
Vietnam,0.528,35.62,0.379999995
Virgin Islands (U.S.),,,
Zambia,0.371,41.1,1.0
Zimbabwe,0.372,76.71,0.850000024
